measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Both,All ages,Other malignant neoplasms,Rate,2019,7.587683828072228,8.732602725378014,6.361033586619511
Deaths,Denmark,Both,All ages,Breast cancer,Rate,2019,24.10927393614528,26.590916833737815,21.413473450923025
Deaths,Denmark,Both,All ages,Cervical cancer,Rate,2019,3.1321246495799695,4.238679810651828,2.7592355623074467
Deaths,Denmark,Both,All ages,Uterine cancer,Rate,2019,3.158253632076714,3.5970914772617286,2.749379226694637
Deaths,Denmark,Both,All ages,Prostate cancer,Rate,2019,29.4313250892707,38.64057019996618,23.49529758729915
Deaths,Denmark,Both,All ages,Colon and rectum cancer,Rate,2019,45.61369288007676,49.490175269152225,41.28621257667571
Deaths,Denmark,Both,All ages,Lip and oral cavity cancer,Rate,2019,3.357739966477304,3.689252826993929,3.026372869419171
Deaths,Denmark,Both,All ages,Nasopharynx cancer,Rate,2019,0.23900103060698555,0.27449625989597753,0.20644654532702533
Deaths,Denmark,Both,All ages,Other pharynx cancer,Rate,2019,2.6192763066279947,3.0291478399692355,2.2449363546176895
Deaths,Denmark,Both,All ages,Gallbladder and biliary tract cancer,Rate,2019,2.6527418083676766,2.9922867859411286,2.1646750617545676
Deaths,Denmark,Both,All ages,Pancreatic cancer,Rate,2019,20.570003761275753,22.738370210631135,18.287729124877806
Deaths,Denmark,Both,All ages,Malignant skin melanoma,Rate,2019,5.388376315188987,6.265689066695759,3.048346742834252
Deaths,Denmark,Both,All ages,Non-melanoma skin cancer,Rate,2019,1.4368589245737708,1.603187699224148,1.085834523927953
Deaths,Denmark,Both,All ages,Ovarian cancer,Rate,2019,8.42090680628054,9.727348450189197,7.3564290667382
Deaths,Denmark,Both,All ages,Testicular cancer,Rate,2019,0.23737233262502036,0.279302413143636,0.20507992287145813
Deaths,Denmark,Both,All ages,Kidney cancer,Rate,2019,7.959770492702271,8.923905621732734,7.029118623191929
Deaths,Denmark,Both,All ages,Bladder cancer,Rate,2019,12.363822478936136,13.933135246968805,10.88020929422923
Deaths,Denmark,Both,All ages,Brain and central nervous system cancer,Rate,2019,8.645144511010981,10.14512997707334,5.328524931017675
Deaths,Denmark,Both,All ages,Thyroid cancer,Rate,2019,0.848909488852791,0.9573262842216859,0.7285864803635056
Deaths,Denmark,Both,All ages,Mesothelioma,Rate,2019,2.2435197068756536,2.475783176979456,2.034222981901861
Deaths,Denmark,Both,All ages,Hodgkin lymphoma,Rate,2019,0.5194577339071659,0.6220875068910964,0.38962650300007756
Deaths,Vanuatu,Both,All ages,Other malignant neoplasms,Rate,2019,3.372402344850833,4.4327005534514266,2.423308945105337
Deaths,Dominica,Both,All ages,Stomach cancer,Rate,2019,26.992859039127346,32.377480337086794,22.31831048068204
Deaths,Dominica,Both,All ages,Liver cancer,Rate,2019,4.440054024907347,5.466175184024571,3.6179294656219048
Deaths,Dominica,Both,All ages,Larynx cancer,Rate,2019,3.1860901890798403,3.944777184576195,2.4892922041565257
Deaths,Dominica,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2019,23.14268148230756,27.869544470863886,18.799315099633564
Deaths,Dominica,Both,All ages,Breast cancer,Rate,2019,20.548404626860737,25.28831313107892,16.886752347634108
Deaths,Dominica,Both,All ages,Cervical cancer,Rate,2019,10.950316563242609,13.899772719415767,8.473908511948498
Deaths,Dominica,Both,All ages,Uterine cancer,Rate,2019,3.12352221720339,4.022521638277206,2.383471499460972
Deaths,Dominica,Both,All ages,Prostate cancer,Rate,2019,73.36180103116422,91.0129096769852,54.15833072927283
Deaths,Dominica,Both,All ages,Colon and rectum cancer,Rate,2019,19.76153440205127,23.875533087852524,16.434782181197757
Deaths,Dominica,Both,All ages,Lip and oral cavity cancer,Rate,2019,4.138171296891991,5.088438875869769,3.3306729593515447
Deaths,Dominica,Both,All ages,Nasopharynx cancer,Rate,2019,0.7736360809902965,0.9786676645166354,0.6227909519091364
Deaths,Dominica,Both,All ages,Other pharynx cancer,Rate,2019,2.643450240012564,3.368613875432478,2.0532191113951854
Deaths,Dominica,Both,All ages,Gallbladder and biliary tract cancer,Rate,2019,2.7741756481925393,4.995989098708908,2.112094180802563
Deaths,Sweden,Both,All ages,Other malignant neoplasms,Rate,2019,9.049842379894105,9.771661185399747,7.959141722165061
Deaths,Switzerland,Both,All ages,Lip and oral cavity cancer,Rate,2019,2.913430300004768,3.1773645752609623,2.6001805559587883
Deaths,Switzerland,Both,All ages,Nasopharynx cancer,Rate,2019,0.4200315626672598,0.48267471188589134,0.3631340837862824
